country_code,region,shipping_zone,estimated_days
AR,,,
AU,,,
BO,,,
BR,,,
CA,,,
CL,,,
CO,,,
DE,,,
ES,,,
FR,,,
GB,,,
IN,,,
IT,,,
JP,,,
KR,,,
MX,,,
NL,,,
PE,,,
PT,,,
PY,,,
SG,,,
US,,,
UY,,,
ZA,,,
